dataset,horizon,row_model,col_model,reject_share_10pct,reject_share_5pct,reject_share_1pct,applied_style
MHAR,22,HAR,HAR,0.0,0.0,0.0,none
MHAR,22,HAR,HARX,0.0,0.0,0.0,none
MHAR,22,HAR,LogHAR,0.6666666666666666,0.6666666666666666,0.6666666666666666,p01
MHAR,22,HAR,LevHAR,0.3333333333333333,0.3333333333333333,0.3333333333333333,none
MHAR,22,HAR,SHAR,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HAR,HARQ,0.0,0.0,0.0,none
MHAR,22,HAR,Ridge,0.0,0.0,0.0,none
MHAR,22,HAR,Lasso,0.0,0.0,0.0,none
MHAR,22,HAR,ElasticNet,0.0,0.0,0.0,none
MHAR,22,HAR,AdaptiveLasso,0.0,0.0,0.0,none
MHAR,22,HAR,PostLasso,0.0,0.0,0.0,none
MHAR,22,HAR,Bagging,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HAR,RandomForest,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HAR,GradientBoosting,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HAR,NN1_1,0.0,0.0,0.0,none
MHAR,22,HAR,NN1,0.0,0.0,0.0,none
MHAR,22,HAR,NN2_1,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HAR,NN2,0.0,0.0,0.0,none
MHAR,22,HAR,NN3_1,0.3333333333333333,0.3333333333333333,0.3333333333333333,none
MHAR,22,HAR,NN3,0.0,0.0,0.0,none
MHAR,22,HAR,NN4_1,0.0,0.0,0.0,none
MHAR,22,HAR,NN4,0.0,0.0,0.0,none
MHAR,22,HARX,HAR,0.0,0.0,0.0,none
MHAR,22,HARX,HARX,0.0,0.0,0.0,none
MHAR,22,HARX,LogHAR,0.6666666666666666,0.6666666666666666,0.6666666666666666,p01
MHAR,22,HARX,LevHAR,0.3333333333333333,0.3333333333333333,0.3333333333333333,none
MHAR,22,HARX,SHAR,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HARX,HARQ,0.0,0.0,0.0,none
MHAR,22,HARX,Ridge,0.0,0.0,0.0,none
MHAR,22,HARX,Lasso,0.0,0.0,0.0,none
MHAR,22,HARX,ElasticNet,0.0,0.0,0.0,none
MHAR,22,HARX,AdaptiveLasso,0.0,0.0,0.0,none
MHAR,22,HARX,PostLasso,0.0,0.0,0.0,none
MHAR,22,HARX,Bagging,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HARX,RandomForest,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HARX,GradientBoosting,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HARX,NN1_1,0.0,0.0,0.0,none
MHAR,22,HARX,NN1,0.0,0.0,0.0,none
MHAR,22,HARX,NN2_1,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HARX,NN2,0.0,0.0,0.0,none
MHAR,22,HARX,NN3_1,0.3333333333333333,0.3333333333333333,0.3333333333333333,none
MHAR,22,HARX,NN3,0.0,0.0,0.0,none
MHAR,22,HARX,NN4_1,0.0,0.0,0.0,none
MHAR,22,HARX,NN4,0.0,0.0,0.0,none
MHAR,22,LogHAR,HAR,0.0,0.0,0.0,none
MHAR,22,LogHAR,HARX,0.0,0.0,0.0,none
MHAR,22,LogHAR,LogHAR,0.0,0.0,0.0,none
MHAR,22,LogHAR,LevHAR,0.0,0.0,0.0,none
MHAR,22,LogHAR,SHAR,0.0,0.0,0.0,none
MHAR,22,LogHAR,HARQ,0.0,0.0,0.0,none
MHAR,22,LogHAR,Ridge,0.0,0.0,0.0,none
MHAR,22,LogHAR,Lasso,0.0,0.0,0.0,none
MHAR,22,LogHAR,ElasticNet,0.0,0.0,0.0,none
MHAR,22,LogHAR,AdaptiveLasso,0.0,0.0,0.0,none
MHAR,22,LogHAR,PostLasso,0.0,0.0,0.0,none
MHAR,22,LogHAR,Bagging,0.0,0.0,0.0,none
MHAR,22,LogHAR,RandomForest,0.0,0.0,0.0,none
MHAR,22,LogHAR,GradientBoosting,0.0,0.0,0.0,none
MHAR,22,LogHAR,NN1_1,0.0,0.0,0.0,none
MHAR,22,LogHAR,NN1,0.0,0.0,0.0,none
MHAR,22,LogHAR,NN2_1,0.0,0.0,0.0,none
MHAR,22,LogHAR,NN2,0.0,0.0,0.0,none
MHAR,22,LogHAR,NN3_1,0.0,0.0,0.0,none
MHAR,22,LogHAR,NN3,0.0,0.0,0.0,none
MHAR,22,LogHAR,NN4_1,0.0,0.0,0.0,none
MHAR,22,LogHAR,NN4,0.0,0.0,0.0,none
MHAR,22,LevHAR,HAR,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,LevHAR,HARX,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,LevHAR,LogHAR,1.0,0.6666666666666666,0.6666666666666666,p01
MHAR,22,LevHAR,LevHAR,0.0,0.0,0.0,none
MHAR,22,LevHAR,SHAR,0.6666666666666666,0.0,0.0,p10
MHAR,22,LevHAR,HARQ,0.0,0.0,0.0,none
MHAR,22,LevHAR,Ridge,0.0,0.0,0.0,none
MHAR,22,LevHAR,Lasso,0.0,0.0,0.0,none
MHAR,22,LevHAR,ElasticNet,0.0,0.0,0.0,none
MHAR,22,LevHAR,AdaptiveLasso,0.0,0.0,0.0,none
MHAR,22,LevHAR,PostLasso,0.0,0.0,0.0,none
MHAR,22,LevHAR,Bagging,0.6666666666666666,0.6666666666666666,0.3333333333333333,p05
MHAR,22,LevHAR,RandomForest,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,LevHAR,GradientBoosting,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,LevHAR,NN1_1,0.0,0.0,0.0,none
MHAR,22,LevHAR,NN1,0.3333333333333333,0.0,0.0,none
MHAR,22,LevHAR,NN2_1,0.6666666666666666,0.6666666666666666,0.3333333333333333,p05
MHAR,22,LevHAR,NN2,0.0,0.0,0.0,none
MHAR,22,LevHAR,NN3_1,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,LevHAR,NN3,0.0,0.0,0.0,none
MHAR,22,LevHAR,NN4_1,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,LevHAR,NN4,0.0,0.0,0.0,none
MHAR,22,SHAR,HAR,0.0,0.0,0.0,none
MHAR,22,SHAR,HARX,0.0,0.0,0.0,none
MHAR,22,SHAR,LogHAR,1.0,0.6666666666666666,0.6666666666666666,p01
MHAR,22,SHAR,LevHAR,0.0,0.0,0.0,none
MHAR,22,SHAR,SHAR,0.0,0.0,0.0,none
MHAR,22,SHAR,HARQ,0.0,0.0,0.0,none
MHAR,22,SHAR,Ridge,0.0,0.0,0.0,none
MHAR,22,SHAR,Lasso,0.0,0.0,0.0,none
MHAR,22,SHAR,ElasticNet,0.0,0.0,0.0,none
MHAR,22,SHAR,AdaptiveLasso,0.0,0.0,0.0,none
MHAR,22,SHAR,PostLasso,0.0,0.0,0.0,none
MHAR,22,SHAR,Bagging,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,SHAR,RandomForest,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,SHAR,GradientBoosting,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,SHAR,NN1_1,0.0,0.0,0.0,none
MHAR,22,SHAR,NN1,0.0,0.0,0.0,none
MHAR,22,SHAR,NN2_1,0.3333333333333333,0.3333333333333333,0.3333333333333333,none
MHAR,22,SHAR,NN2,0.0,0.0,0.0,none
MHAR,22,SHAR,NN3_1,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,SHAR,NN3,0.0,0.0,0.0,none
MHAR,22,SHAR,NN4_1,0.0,0.0,0.0,none
MHAR,22,SHAR,NN4,0.0,0.0,0.0,none
MHAR,22,HARQ,HAR,0.0,0.0,0.0,none
MHAR,22,HARQ,HARX,0.0,0.0,0.0,none
MHAR,22,HARQ,LogHAR,1.0,0.6666666666666666,0.3333333333333333,p05
MHAR,22,HARQ,LevHAR,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HARQ,SHAR,0.0,0.0,0.0,none
MHAR,22,HARQ,HARQ,0.0,0.0,0.0,none
MHAR,22,HARQ,Ridge,0.0,0.0,0.0,none
MHAR,22,HARQ,Lasso,0.0,0.0,0.0,none
MHAR,22,HARQ,ElasticNet,0.0,0.0,0.0,none
MHAR,22,HARQ,AdaptiveLasso,0.0,0.0,0.0,none
MHAR,22,HARQ,PostLasso,0.0,0.0,0.0,none
MHAR,22,HARQ,Bagging,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HARQ,RandomForest,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HARQ,GradientBoosting,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HARQ,NN1_1,0.0,0.0,0.0,none
MHAR,22,HARQ,NN1,0.0,0.0,0.0,none
MHAR,22,HARQ,NN2_1,0.3333333333333333,0.3333333333333333,0.0,none
MHAR,22,HARQ,NN2,0.0,0.0,0.0,none
MHAR,22,HARQ,NN3_1,0.0,0.0,0.0,none
MHAR,22,HARQ,NN3,0.0,0.0,0.0,none
MHAR,22,HARQ,NN4_1,0.0,0.0,0.0,none
MHAR,22,HARQ,NN4,0.0,0.0,0.0,none
MHAR,22,Ridge,HAR,1.0,1.0,0.6666666666666666,p01
MHAR,22,Ridge,HARX,1.0,1.0,0.6666666666666666,p01
MHAR,22,Ridge,LogHAR,1.0,0.6666666666666666,0.6666666666666666,p01
MHAR,22,Ridge,LevHAR,0.3333333333333333,0.3333333333333333,0.3333333333333333,none
MHAR,22,Ridge,SHAR,1.0,0.6666666666666666,0.6666666666666666,p01
MHAR,22,Ridge,HARQ,0.3333333333333333,0.3333333333333333,0.3333333333333333,none
MHAR,22,Ridge,Ridge,0.0,0.0,0.0,none
MHAR,22,Ridge,Lasso,0.0,0.0,0.0,none
