date,ticker,ea,source,reported_date,fiscal_date_ending,reported_eps,estimated_eps,surprise,surprise_percentage,aligned_to_trading_day
2017-10-17,UNH,1,Alpha Vantage EARNINGS,2017-10-17,2017-09-30,2.66,2.57,0.09,3.5019,False
2001-02-01,VZ,1,Alpha Vantage EARNINGS,2001-02-01,2000-12-31,0.77,0.77,0.0,0.0,False
2001-04-24,VZ,1,Alpha Vantage EARNINGS,2001-04-24,2001-03-31,0.72,0.71,0.01,1.4085,False
2001-07-31,VZ,1,Alpha Vantage EARNINGS,2001-07-31,2001-06-30,0.77,0.77,0.0,0.0,False
2001-10-30,VZ,1,Alpha Vantage EARNINGS,2001-10-30,2001-09-30,0.75,0.77,-0.02,-2.5974,False
2002-02-01,VZ,1,Alpha Vantage EARNINGS,2002-01-31,2001-12-31,0.77,0.77,0.0,0.0,True
2002-04-24,VZ,1,Alpha Vantage EARNINGS,2002-04-23,2002-03-31,0.72,0.72,0.0,0.0,True
2002-07-31,VZ,1,Alpha Vantage EARNINGS,2002-07-31,2002-06-30,0.77,0.77,0.0,0.0,False
2002-10-25,VZ,1,Alpha Vantage EARNINGS,2002-10-25,2002-09-30,0.77,0.77,0.0,0.0,False
2003-01-29,VZ,1,Alpha Vantage EARNINGS,2003-01-29,2002-12-31,0.79,0.79,0.0,0.0,False
2003-04-22,VZ,1,Alpha Vantage EARNINGS,2003-04-22,2003-03-31,0.63,0.63,0.0,0.0,False
2003-07-29,VZ,1,Alpha Vantage EARNINGS,2003-07-29,2003-06-30,0.69,0.68,0.01,1.4706,False
2003-10-28,VZ,1,Alpha Vantage EARNINGS,2003-10-28,2003-09-30,0.67,0.62,0.05,8.0645,False
2004-01-29,VZ,1,Alpha Vantage EARNINGS,2004-01-29,2003-12-31,0.58,0.56,0.02,3.5714,False
2004-04-27,VZ,1,Alpha Vantage EARNINGS,2004-04-27,2004-03-31,0.58,0.57,0.01,1.7544,False
