date,ticker,ea,source,reported_date,fiscal_date_ending,reported_eps,estimated_eps,surprise,surprise_percentage,aligned_to_trading_day
2017-03-31,WMT,1,Alpha Vantage EARNINGS,2017-03-31,2017-01-31,0.4333,1.29,-0.8567,-66.4109,False
2017-05-18,WMT,1,Alpha Vantage EARNINGS,2017-05-18,2017-04-30,0.3333,0.88,-0.5467,-62.125,False
2017-08-17,WMT,1,Alpha Vantage EARNINGS,2017-08-17,2017-07-31,0.36,1.02,-0.66,-64.7059,False
2017-11-16,WMT,1,Alpha Vantage EARNINGS,2017-11-16,2017-10-31,0.3333,0.96,-0.6267,-65.2813,False
2001-01-23,XOM,1,Alpha Vantage EARNINGS,2001-01-23,2000-12-31,0.73,0.65,0.08,12.3077,False
2001-04-23,XOM,1,Alpha Vantage EARNINGS,2001-04-23,2001-03-31,0.72,0.66,0.06,9.0909,False
2001-07-24,XOM,1,Alpha Vantage EARNINGS,2001-07-24,2001-06-30,0.64,0.66,-0.02,-3.0303,False
2001-10-23,XOM,1,Alpha Vantage EARNINGS,2001-10-23,2001-09-30,0.48,0.5,-0.02,-4.0,False
2002-01-23,XOM,1,Alpha Vantage EARNINGS,2002-01-23,2001-12-31,0.42,0.38,0.04,10.5263,False
2002-04-23,XOM,1,Alpha Vantage EARNINGS,2002-04-23,2002-03-31,0.31,0.39,-0.08,-20.5128,False
2002-08-01,XOM,1,Alpha Vantage EARNINGS,2002-08-01,2002-06-30,0.39,0.45,-0.06,-13.3333,False
2002-10-31,XOM,1,Alpha Vantage EARNINGS,2002-10-31,2002-09-30,0.44,0.42,0.02,4.7619,False
2003-01-30,XOM,1,Alpha Vantage EARNINGS,2003-01-30,2002-12-31,0.56,0.5,0.06,12.0,False
2003-05-01,XOM,1,Alpha Vantage EARNINGS,2003-05-01,2003-03-31,0.71,0.69,0.02,2.8986,False
2003-07-31,XOM,1,Alpha Vantage EARNINGS,2003-07-31,2003-06-30,0.62,0.56,0.06,10.7143,False
2003-10-30,XOM,1,Alpha Vantage EARNINGS,2003-10-30,2003-09-30,0.55,0.62,-0.07,-11.2903,False
2004-01-29,XOM,1,Alpha Vantage EARNINGS,2004-01-29,2003-12-31,0.68,0.58,0.1,17.2414,False
2004-04-29,XOM,1,Alpha Vantage EARNINGS,2004-04-29,2004-03-31,0.83,0.75,0.08,10.6667,False
2004-07-29,XOM,1,Alpha Vantage EARNINGS,2004-07-29,2004-06-30,0.88,0.88,0.0,0.0,False
2004-10-28,XOM,1,Alpha Vantage EARNINGS,2004-10-28,2004-09-30,0.96,0.87,0.09,10.3448,False
2005-01-31,XOM,1,Alpha Vantage EARNINGS,2005-01-31,2004-12-31,1.3,1.05,0.25,23.8095,False
2005-04-28,XOM,1,Alpha Vantage EARNINGS,2005-04-28,2005-03-31,1.15,1.2,-0.05,-4.1667,False
2005-07-28,XOM,1,Alpha Vantage EARNINGS,2005-07-28,2005-06-30,1.23,1.22,0.01,0.8197,False
2005-10-27,XOM,1,Alpha Vantage EARNINGS,2005-10-27,2005-09-30,1.32,1.39,-0.07,-5.036,False
2006-01-30,XOM,1,Alpha Vantage EARNINGS,2006-01-30,2005-12-31,1.65,1.45,0.2,13.7931,False
2006-04-27,XOM,1,Alpha Vantage EARNINGS,2006-04-27,2006-03-31,1.41,1.46,-0.05,-3.4247,False
2006-07-27,XOM,1,Alpha Vantage EARNINGS,2006-07-27,2006-06-30,1.72,1.64,0.08,4.878,False
2006-10-26,XOM,1,Alpha Vantage EARNINGS,2006-10-26,2006-09-30,1.77,1.59,0.18,11.3208,False
2007-02-01,XOM,1,Alpha Vantage EARNINGS,2007-02-01,2006-12-31,1.69,1.52,0.17,11.1842,False
2007-04-26,XOM,1,Alpha Vantage EARNINGS,2007-04-26,2007-03-31,1.62,1.53,0.09,5.8824,False
2007-07-26,XOM,1,Alpha Vantage EARNINGS,2007-07-26,2007-06-30,1.83,1.96,-0.13,-6.6327,False
2007-11-01,XOM,1,Alpha Vantage EARNINGS,2007-11-01,2007-09-30,1.7,1.74,-0.04,-2.2989,False
2008-02-01,XOM,1,Alpha Vantage EARNINGS,2008-02-01,2007-12-31,2.13,1.98,0.15,7.5758,False
2008-05-01,XOM,1,Alpha Vantage EARNINGS,2008-05-01,2008-03-31,2.03,2.11,-0.08,-3.7915,False
2008-07-31,XOM,1,Alpha Vantage EARNINGS,2008-07-31,2008-06-30,2.27,2.53,-0.26,-10.2767,False
2008-10-30,XOM,1,Alpha Vantage EARNINGS,2008-10-30,2008-09-30,2.59,2.38,0.21,8.8235,False
2009-01-30,XOM,1,Alpha Vantage EARNINGS,2009-01-30,2008-12-31,1.55,1.51,0.04,2.649,False
2009-04-30,XOM,1,Alpha Vantage EARNINGS,2009-04-30,2009-03-31,0.92,0.95,-0.03,-3.1579,False
2009-07-30,XOM,1,Alpha Vantage EARNINGS,2009-07-30,2009-06-30,0.84,1.02,-0.18,-17.6471,False
2009-10-29,XOM,1,Alpha Vantage EARNINGS,2009-10-29,2009-09-30,0.98,1.03,-0.05,-4.8544,False
2010-02-01,XOM,1,Alpha Vantage EARNINGS,2010-02-01,2009-12-31,1.27,1.19,0.08,6.7227,False
2010-04-29,XOM,1,Alpha Vantage EARNINGS,2010-04-29,2010-03-31,1.37,1.38,-0.01,-0.7246,False
2010-07-29,XOM,1,Alpha Vantage EARNINGS,2010-07-29,2010-06-30,1.6,1.47,0.13,8.8435,False
2010-10-28,XOM,1,Alpha Vantage EARNINGS,2010-10-28,2010-09-30,1.44,1.39,0.05,3.5971,False
2011-01-31,XOM,1,Alpha Vantage EARNINGS,2011-01-31,2010-12-31,1.85,1.62,0.23,14.1975,False
2011-04-28,XOM,1,Alpha Vantage EARNINGS,2011-04-28,2011-03-31,2.14,2.02,0.12,5.9406,False
2011-07-28,XOM,1,Alpha Vantage EARNINGS,2011-07-28,2011-06-30,2.18,2.33,-0.15,-6.4378,False
2011-10-27,XOM,1,Alpha Vantage EARNINGS,2011-10-27,2011-09-30,2.13,2.13,0.0,0.0,False
2012-01-31,XOM,1,Alpha Vantage EARNINGS,2012-01-31,2011-12-31,1.97,1.98,-0.01,-0.5051,False
2012-04-26,XOM,1,Alpha Vantage EARNINGS,2012-04-26,2012-03-31,2.0,2.11,-0.11,-5.2133,False
2012-07-26,XOM,1,Alpha Vantage EARNINGS,2012-07-26,2012-06-30,1.8,1.96,-0.16,-8.1633,False
2012-11-01,XOM,1,Alpha Vantage EARNINGS,2012-11-01,2012-09-30,2.09,1.93,0.16,8.2902,False
2013-02-01,XOM,1,Alpha Vantage EARNINGS,2013-02-01,2012-12-31,2.2,2.0,0.2,10.0,False
2013-04-25,XOM,1,Alpha Vantage EARNINGS,2013-04-25,2013-03-31,2.12,2.05,0.07,3.4146,False
2013-08-01,XOM,1,Alpha Vantage EARNINGS,2013-08-01,2013-06-30,1.55,1.9,-0.35,-18.4211,False
2013-10-31,XOM,1,Alpha Vantage EARNINGS,2013-10-31,2013-09-30,1.79,1.78,0.01,0.5618,False
2014-01-30,XOM,1,Alpha Vantage EARNINGS,2014-01-30,2013-12-31,1.91,1.92,-0.01,-0.5208,False
2014-05-01,XOM,1,Alpha Vantage EARNINGS,2014-05-01,2014-03-31,2.1,1.88,0.22,11.7021,False
2014-07-31,XOM,1,Alpha Vantage EARNINGS,2014-07-31,2014-06-30,2.05,1.86,0.19,10.2151,False
2014-10-31,XOM,1,Alpha Vantage EARNINGS,2014-10-31,2014-09-30,1.89,1.72,0.17,9.8837,False
2015-02-02,XOM,1,Alpha Vantage EARNINGS,2015-02-02,2014-12-31,1.32,1.34,-0.02,-1.4925,False
2015-04-30,XOM,1,Alpha Vantage EARNINGS,2015-04-30,2015-03-31,1.17,0.83,0.34,40.9639,False
2015-07-31,XOM,1,Alpha Vantage EARNINGS,2015-07-31,2015-06-30,1.06,1.11,-0.05,-4.5045,False
2015-10-30,XOM,1,Alpha Vantage EARNINGS,2015-10-30,2015-09-30,1.01,0.9,0.11,12.2222,False
2016-02-02,XOM,1,Alpha Vantage EARNINGS,2016-02-02,2015-12-31,0.67,0.64,0.03,4.6875,False
2016-04-29,XOM,1,Alpha Vantage EARNINGS,2016-04-29,2016-03-31,0.43,0.31,0.12,38.7097,False
2016-07-29,XOM,1,Alpha Vantage EARNINGS,2016-07-29,2016-06-30,0.41,0.64,-0.23,-35.9375,False
2016-10-28,XOM,1,Alpha Vantage EARNINGS,2016-10-28,2016-09-30,0.63,0.6,0.03,5.0,False
2017-01-31,XOM,1,Alpha Vantage EARNINGS,2017-01-31,2016-12-31,0.89,0.7,0.19,27.1429,False
2017-04-28,XOM,1,Alpha Vantage EARNINGS,2017-04-28,2017-03-31,0.95,0.87,0.08,9.1954,False
2017-07-28,XOM,1,Alpha Vantage EARNINGS,2017-07-28,2017-06-30,0.78,0.85,-0.07,-8.2353,False
2017-10-27,XOM,1,Alpha Vantage EARNINGS,2017-10-27,2017-09-30,0.93,0.87,0.06,6.8966,False
