Date,Close,High,Low,Open,Volume
,^HSI,^HSI,^HSI,^HSI,^HSI
2000-12-01,14441.4296875,14522.3896484375,13920.1103515625,14026.2099609375,0
2000-12-04,14559.240234375,14632.0703125,14403.3798828125,14470.490234375,0
2000-12-05,14573.2099609375,14701.98046875,14507.5,14602.25,0
2000-12-06,15098.9501953125,15178.26953125,14914.5400390625,14914.5400390625,0
2000-12-07,15011.51953125,15032.26953125,14839.3798828125,14982.919921875,0
2000-12-08,15189.330078125,15281.8095703125,14968.6396484375,15008.7998046875,0
2000-12-11,15408.5400390625,15438.8896484375,15193.490234375,15274.0703125,0
2000-12-12,15329.599609375,15548.259765625,15319.83984375,15498.4501953125,0
2000-12-13,15621.73046875,15637.7802734375,14986.080078125,14986.080078125,0
2000-12-14,15496.990234375,15597.6298828125,15441.580078125,15543.849609375,0
2000-12-15,14975.5302734375,15290.599609375,14914.0498046875,15290.599609375,0
2000-12-18,15024.5302734375,15039.4599609375,14766.849609375,14901.4296875,0
2000-12-19,15188.0400390625,15192.2197265625,15014.76953125,15074.3603515625,0
2000-12-20,14930.7197265625,15048.509765625,14839.490234375,15048.509765625,0
2000-12-21,14659.3203125,14775.9697265625,14476.7900390625,14775.9697265625,0
2000-12-22,14738.2099609375,14851.8603515625,14707.75,14730.509765625,0
2000-12-27,14748.3603515625,14941.23046875,14727.4501953125,14811.9501953125,0
2000-12-28,14796.5498046875,14900.1396484375,14737.9501953125,14785.150390625,0
2000-12-29,15095.5302734375,15154.919921875,14785.009765625,14864.0400390625,0
2001-01-02,14869.9404296875,15089.849609375,14865.66015625,15089.849609375,0
2001-01-03,14589.580078125,14751.330078125,14512.7099609375,14751.330078125,0
2001-01-04,15235.0302734375,15312.6103515625,15060.599609375,15060.599609375,0
2001-01-05,15447.6103515625,15494.5595703125,15275.900390625,15354.16015625,0
2001-01-08,15436.5302734375,15451.7197265625,15200.51953125,15328.1201171875,0
2001-01-09,15500.58984375,15555.9697265625,15336.6201171875,15438.2998046875,0
2001-01-10,15435.7900390625,15539.2998046875,15327.7001953125,15395.9697265625,0
2001-01-11,15090.76953125,15481.759765625,15060.8095703125,15441.2998046875,0
2001-01-12,15295.419921875,15330.150390625,15157.3701171875,15157.3701171875,0
2001-01-15,15293.759765625,15388.01953125,15146.650390625,15288.8095703125,0
2001-01-16,15363.150390625,15430.9501953125,15241.900390625,15290.7001953125,0
2001-01-17,15261.48046875,15451.3896484375,15154.01953125,15409.3798828125,0
2001-01-18,15528.75,15553.509765625,15292.83984375,15292.83984375,0
2001-01-19,15933.5498046875,15964.9296875,15682.349609375,15682.349609375,0
2001-01-22,16099.26953125,16106.16015625,15906.580078125,15967.66015625,0
2001-01-23,16044.2099609375,16099.0595703125,15940.259765625,16053.2197265625,0
2001-01-29,16099.8203125,16255.1103515625,15980.509765625,16176.099609375,0
