dataset,horizon,benchmark_row,AdaptiveLasso,AdaptiveLasso_dm_reject_10pct_share,Bagging,Bagging_dm_reject_10pct_share,ElasticNet,ElasticNet_dm_reject_10pct_share,GradientBoosting,GradientBoosting_dm_reject_10pct_share,HAR,HAR_dm_reject_10pct_share,HARQ,HARQ_dm_reject_10pct_share,HARX,HARX_dm_reject_10pct_share,Lasso,Lasso_dm_reject_10pct_share,LevHAR,LevHAR_dm_reject_10pct_share,LogHAR,LogHAR_dm_reject_10pct_share,NN1,NN1_dm_reject_10pct_share,NN1_1,NN1_1_dm_reject_10pct_share,NN2,NN2_dm_reject_10pct_share,NN2_1,NN2_1_dm_reject_10pct_share,NN3,NN3_dm_reject_10pct_share,NN3_1,NN3_1_dm_reject_10pct_share,NN4,NN4_dm_reject_10pct_share,NN4_1,NN4_1_dm_reject_10pct_share,PostLasso,PostLasso_dm_reject_10pct_share,RandomForest,RandomForest_dm_reject_10pct_share,Ridge,Ridge_dm_reject_10pct_share,SHAR,SHAR_dm_reject_10pct_share
MHAR,1,AdaptiveLasso,1.0,0.0,1.0132183078229458,0.2,0.9707737562851592,0.64,1.216266532408818,0.24,0.97068707789736,0.84,1.0078278414311888,0.24,0.97068707789736,0.84,0.977502446380762,0.56,1.104381773088481,0.32,0.9043348353943288,0.88,0.979032117974302,0.28,0.9813728993138002,0.28,1.4232563289667994,0.24,1.1812509403045504,0.44,0.9886789459973536,0.28,1.0300732089633864,0.24,1.039422337937116,0.12,1.0359412012588556,0.24,0.9754879524595728,0.8,0.9521617799114648,0.44,0.9678789150455916,0.8,0.971821926905288,0.52
MHAR,1,Bagging,0.9971151509394872,0.12,1.0,0.0,0.9668309648855152,0.16,1.196081755388632,0.12,0.9675610548742696,0.2,1.0003657335632905,0.12,0.9675610548742696,0.2,0.9736030228886534,0.12,1.089174278377091,0.08,0.9005194521273348,0.8,0.9727350377321948,0.24,0.9768712598319176,0.24,1.3959530382080936,0.16,1.179377923469527,0.28,0.9844215940139932,0.2,1.0245238537875507,0.2,1.0321755144803466,0.12,1.0300603112411106,0.2,0.9723793161603254,0.16,0.946032781959638,0.6,0.9643021158380722,0.24,0.9684255996322776,0.12
MHAR,1,ElasticNet,1.0309088457271498,0.08,1.043223250691932,0.04,1.0,0.0,1.255187414052713,0.08,1.0000158748140169,0.48,1.0368206084031124,0.04,1.0000158748140169,0.48,1.0071607298956926,0.08,1.1345441568238426,0.04,0.9316223025895088,0.88,1.0085580718096454,0.16,1.0109929950753394,0.2,1.4592026909441411,0.08,1.220900811011061,0.24,1.018468126977803,0.16,1.0608244116093106,0.12,1.0706949782333928,0.04,1.0670492821390083,0.12,1.004922562989449,0.36,0.9808358047521862,0.2,0.9969980396926068,0.48,1.0011805833237304,0.32
MHAR,1,GradientBoosting,0.9264746774840584,0.08,0.93118413850698,0.2,0.898789863559687,0.24,1.0,0.0,0.9002668106819869,0.24,0.9322181902304518,0.16,0.9002668106819869,0.24,0.9052469640433414,0.16,1.0116119207887222,0.12,0.838838497466384,0.88,0.9111730262672616,0.28,0.9137667176060184,0.28,1.1593431391940985,0.16,1.1049270902624238,0.28,0.9200631380799558,0.16,0.9610291795865982,0.16,0.9684691404957828,0.04,0.9665854554110728,0.24,0.9051895251355764,0.24,0.8803053114763963,0.32,0.8972703472433985,0.32,0.9019708857012582,0.24
MHAR,1,HAR,1.0313788908362702,0.04,1.0445574931188688,0.08,1.000563535977713,0.04,1.2598687734612268,0.08,1.0,0.0,1.0385118463316276,0.08,1.0,0.0,1.0076632820246736,0.04,1.1373374807259793,0.16,0.9317572780647302,0.84,1.0089432772568423,0.12,1.0109679812806494,0.16,1.4613100950589206,0.08,1.2230539448438116,0.2,1.0187797553028377,0.12,1.060788268155281,0.12,1.0712179573731986,0.04,1.0673745118258635,0.12,1.004778203273298,0.08,0.981479344208672,0.2,0.997161772558242,0.36,1.000862366837337,0.16
MHAR,1,HARQ,1.006092693752055,0.08,1.015496144334897,0.0,0.975001444677018,0.08,1.231530193023204,0.04,0.9759087634525108,0.08,1.0,0.0,0.9759087634525108,0.08,0.9822050703592886,0.08,1.085172695649914,0.04,0.9091921903028296,0.48,0.9822930590690544,0.04,0.9865874682099682,0.04,1.426486458611795,0.0,1.179337645605524,0.08,0.9915805538661278,0.0,1.0346786963201953,0.04,1.0415235478736022,0.0,1.0384960597708417,0.04,0.9806060611544256,0.08,0.9556926419717098,0.12,0.972425738693592,0.08,0.9775429162957496,0.12
MHAR,1,HARX,1.0313788908362702,0.04,1.0445574931188688,0.08,1.000563535977713,0.04,1.2598687734612268,0.08,1.0,0.0,1.0385118463316276,0.08,1.0,0.0,1.0076632820246736,0.04,1.1373374807259793,0.16,0.9317572780647302,0.84,1.0089432772568423,0.12,1.0109679812806494,0.16,1.4613100950589206,0.08,1.2230539448438116,0.2,1.0187797553028377,0.12,1.060788268155281,0.12,1.0712179573731986,0.04,1.0673745118258635,0.12,1.004778203273298,0.08,0.981479344208672,0.2,0.997161772558242,0.36,1.000862366837337,0.16
MHAR,1,Lasso,1.0234969387760249,0.04,1.0357700716396474,0.04,0.9930377831269628,0.4,1.2456357363925463,0.12,0.9929925498740232,0.8,1.029967166204589,0.16,0.9929925498740232,0.8,1.0,0.0,1.1271556284639646,0.2,0.9249962261588022,0.92,1.001075143112877,0.2,1.0036133834590597,0.16,1.4496727226435258,0.12,1.2136212491188747,0.32,1.011042732866996,0.2,1.0530837593450115,0.12,1.0626484960904057,0.08,1.059021672448779,0.16,0.9978630064836072,0.76,0.9738397813937264,0.28,0.99002809250373,0.8,0.9940444732034444,0.48
MHAR,1,LevHAR,0.9585394872117834,0.16,0.9648051637327596,0.24,0.9285003263776058,0.28,1.156543121139727,0.32,0.929587135158854,0.32,0.948695200171218,0.24,0.929587135158854,0.32,0.9352830071486292,0.28,1.0,0.0,0.8671340095330068,0.56,0.9388858516154004,0.24,0.9428289336078224,0.2,1.3421281591992404,0.2,1.1529427555638858,0.28,0.9486426830908616,0.24,0.9886080741543006,0.24,0.99754420265522,0.24,0.9953286988824568,0.24,0.933887120717555,0.28,0.910247805762562,0.4,0.9260635354332184,0.32,0.9305751970841064,0.28
MHAR,1,LogHAR,1.107742146855189,0.0,1.1206707568767995,0.0,1.0746099697732487,0.0,1.3565882601389851,0.0,1.0741549814820102,0.0,1.115874404941813,0.0,1.0741549814820102,0.0,1.082134261367497,0.0,1.2239410440433809,0.0,1.0,0.0,1.08175705464312,0.0,1.0845552149593212,0.0,1.5600096029745416,0.0,1.310381628621518,0.0,1.092329821426807,0.0,1.1378548280373866,0.0,1.1476407089851457,0.0,1.1436711667026165,0.0,1.0793751131352505,0.0,1.0531460017060068,0.0,1.071025674807038,0.0,1.074824553078573,0.0
MHAR,1,NN1,1.030523283290817,0.12,1.0402861217454704,0.12,0.9996859808960776,0.2,1.2751432549530444,0.2,0.9995430820493416,0.2,1.035775032980561,0.08,0.9995430820493416,0.2,1.0063962840937544,0.16,1.138959352855349,0.08,0.9296229552408836,0.56,1.0,0.0,1.004095102291441,0.28,1.463126156958796,0.24,1.2215908756768827,0.36,1.0102123801565863,0.16,1.0509805965573882,0.24,1.0569274581172292,0.0,1.052331084785572,0.04,1.0044949864000257,0.16,0.9783944680974124,0.28,0.996469356452282,0.2,0.9997454756104264,0.2
MHAR,1,NN1_1,1.0295287700992428,0.12,1.0411524947118531,0.12,0.9987861779952714,0.16,1.2735354226269364,0.04,0.9982039157781112,0.16,1.0367914433479266,0.12,0.9982039157781112,0.16,1.0055665974817505,0.16,1.1415487033299485,0.08,0.928852159679863,0.6,1.0004450878474385,0.16,1.0,0.0,1.461484201571947,0.08,1.2161612520233445,0.32,1.0097073858796155,0.12,1.0463965903978816,0.08,1.0570661976285125,0.04,1.0522226078136756,0.04,1.0032552818731288,0.16,0.978354004716028,0.2,0.9953721798820436,0.16,0.9976578243700364,0.16
