dataset,horizon,ticker,HAR,HARX,LogHAR,LevHAR,SHAR,HARQ,Ridge,Lasso,ElasticNet,AdaptiveLasso,PostLasso,Bagging,RandomForest,GradientBoosting,NN1_1,NN1,NN2_1,NN2,NN3_1,NN3,NN4_1,NN4
MHAR,22,AAPL,1.0,1.0,0.6802188811324303,0.987187666502517,0.9796526402386252,1.000369598194647,1.1228215495855147,1.1675530686938687,1.1482460392611493,1.204546163443552,1.117976898834346,0.7692846415687209,0.7931057198946658,0.8576207396245779,12.88063222675801,0.7201148013243082,0.5633138199126814,0.5107503755465417,0.6577454774457173,0.5198706720100306,0.5014445927540095,0.5281591370640698
MHAR,22,AXP,1.0,1.0,0.6708988790698764,1.8839895673986355,1.0063844808255256,1.0556761743422507,1.1542002542158278,1.226608612202621,1.154227056923768,1.1865194885533954,1.1542002450355224,0.7725236588081585,0.8539145930303366,3.801543025044473,0.4678562735251952,0.4634066302397644,0.42115693276277616,1.2223815199620194,0.5526389201086185,0.4707526854728923,0.4613287871581297,0.47529168774748787
MHAR,22,BA,1.0,1.0,0.7655491162762117,0.9938677237542046,1.0235979656081977,1.0060669005874416,1.0286737384768323,1.1642346575817244,1.1613769954998476,1.2702729391724756,1.0425722589041302,0.7425865083439519,0.8024663191658052,1.011091000187066,0.6801952130707442,0.6498440608086256,0.6723989451345167,0.6779547229555739,0.6599693319408642,0.6708537065657613,0.6974678588331055,0.6927761807797104
MHAR,22,CAT,1.0,1.0,0.8713243746293484,0.8970421621801707,1.0026648834988183,1.0818214012430327,1.059367902333309,1.1015476279079617,1.0819396750225672,1.094380035701637,1.0593602752233673,0.8582901787594147,0.8533444623157636,1.0172038015155316,1.3921301531872061,1.4212182799536375,1.782912852129741,1.6033772660823655,1.7376411211041998,1.6515063972250805,1.8349623498532894,1.8327065897961288
MHAR,22,CSCO,1.0,1.0,0.7033295516004293,1.0597567083949846,0.9600553115930884,1.0001705210792715,1.1379041685697955,1.2363788883042064,1.1378781892709797,1.2578974642441636,1.1372815161268879,1.1409805968699098,0.9954535676885281,1.316008802302048,0.5613106472884103,0.5614689551723948,0.6951897563847609,0.6613055656568996,0.651083661176914,0.6198566218965892,0.5607828718147031,0.6157775312484614
MHAR,22,DIS,1.0,1.0,0.8685070179641948,1.0978850548456782,1.00942393859412,1.088033084440085,1.0619209507645422,1.129779457345886,1.1220789500834618,1.103240747670647,1.0551755892016388,1.5416512927879453,1.1673487349288882,1.6308306012248641,0.7014217548362187,0.7136205542975835,0.7030335455206727,0.7820887508941659,0.7333977408783887,0.7451115516629752,0.7930566195200289,0.7817044924142009
MHAR,22,GE,1.0,1.0,0.8139511038250796,2.1055234911294667,1.0022769772027775,0.9995225679325411,1.05685651040578,1.1499485715366147,1.1557507290517446,1.1320180820702357,1.0568565080309742,1.3717800001466582,1.1799318047679543,1.331796119848473,0.6100166980575866,0.6313701605145683,0.6610640157792795,0.662117832930953,0.5970805449606921,0.659719475004563,0.686816068379717,0.6666621119536584
MHAR,22,GS,1.0,1.0,0.6339225862343745,1.390128006134102,0.9969977988811713,0.9948277763944705,1.1806589257345894,1.2312783528370856,1.1806815397737418,1.1966723177640877,1.1806589178502995,3.6121678122430225,1.4736707597887002,1.3063801899299707,0.5259920863800485,0.46268947501853547,0.5292213579037628,0.4176618415610243,0.5523283379120402,0.4243105362250769,0.49050783772738005,0.42235340351374456
MHAR,22,HD,1.0,1.0,0.6924982295558403,0.9604643932291493,1.0025996461125983,0.7460842083680503,1.0126808491971762,1.1878610003766725,1.1992802730992882,1.3530555097359416,1.0102220943232978,1.0831768376204478,1.0331757621312798,1.9452390599135152,0.5383500540913485,0.5246043230462382,0.5393208612303435,68.41034517649221,0.5249446575452981,0.5451648338327669,0.5411248366531877,0.539038007012788
MHAR,22,IBM,1.0,1.0,0.8162462501717039,1.2514960511180762,1.0023077596788847,1.0937827467418335,1.0288813518610445,1.2843207705799973,1.1766542575682997,1.3978175787963631,1.0583828112183984,1.9463178077479257,1.4276344300952635,1.7587965651992876,0.7673109330521553,0.785352364133916,0.8048725495384241,0.7895017956754508,1.2198366405752397,0.810183382663252,0.8961646487647124,0.8544033281252706
