dataset,horizon,benchmark_row,AdaptiveLasso,AdaptiveLasso_dm_reject_10pct_share,Bagging,Bagging_dm_reject_10pct_share,ElasticNet,ElasticNet_dm_reject_10pct_share,GradientBoosting,GradientBoosting_dm_reject_10pct_share,HAR,HAR_dm_reject_10pct_share,HARQ,HARQ_dm_reject_10pct_share,HARX,HARX_dm_reject_10pct_share,Lasso,Lasso_dm_reject_10pct_share,LevHAR,LevHAR_dm_reject_10pct_share,LogHAR,LogHAR_dm_reject_10pct_share,NN1,NN1_dm_reject_10pct_share,NN1_1,NN1_1_dm_reject_10pct_share,NN2,NN2_dm_reject_10pct_share,NN2_1,NN2_1_dm_reject_10pct_share,NN3,NN3_dm_reject_10pct_share,NN3_1,NN3_1_dm_reject_10pct_share,NN4,NN4_dm_reject_10pct_share,NN4_1,NN4_1_dm_reject_10pct_share,PostLasso,PostLasso_dm_reject_10pct_share,RandomForest,RandomForest_dm_reject_10pct_share,Ridge,Ridge_dm_reject_10pct_share,SHAR,SHAR_dm_reject_10pct_share
MHAR,22,AdaptiveLasso,1.0,0.0,1.1905901591755046,0.28,0.9775503858395613,0.48,1.2884775858430226,0.12,0.9105480947265275,0.84,0.8931653895306106,0.48,0.9105480947265275,0.84,0.9977573807415325,0.28,1.0102355710223418,0.4,0.6986814837001867,0.96,0.636237806362428,0.8,1.0379665140992316,0.8,4.069746231029001,0.56,0.9352923496082323,0.64,0.677105778803603,0.72,0.8350990846462913,0.72,0.6860602752617097,0.72,0.7310917281888897,0.68,0.9402910727363224,0.84,0.9397063802576846,0.32,0.9634617975190377,0.84,0.9289525668834746,0.76
MHAR,22,Bagging,0.9904900801612364,0.04,1.0,0.0,0.9604767829317332,0.04,1.2385773636016768,0.12,0.8849773917139392,0.16,0.8840191901108955,0.08,0.8849773917139392,0.16,0.9818565717266925,0.04,0.9778532015552066,0.04,0.6830218580588501,0.48,0.6326311676423555,0.4,1.261347220442169,0.4,4.275368851609841,0.28,0.8746113683859273,0.44,0.6733399151521706,0.4,0.8489722924674181,0.4,0.6851621548839204,0.4,0.7097201352492156,0.4,0.9210063620296175,0.12,0.8720747513308054,0.28,0.9409394218677626,0.12,0.8907453721060441,0.12
MHAR,22,ElasticNet,1.0275932338169198,0.0,1.213277297108528,0.28,1.0,0.0,1.3129571758006637,0.12,0.9286269177732552,0.88,0.9139898361250489,0.44,0.9286269177732552,0.88,1.0212424428258828,0.0,1.030727442648615,0.44,0.7134745539374195,0.96,0.6514754327182931,0.76,1.0726400087926162,0.76,4.387245198387509,0.52,0.9471650213025308,0.64,0.6937314014345101,0.68,0.8524348238392355,0.68,0.7032142433505697,0.68,0.7487345464367783,0.64,0.9596956400922388,0.68,0.9602480821914473,0.32,0.9833099413882835,0.68,0.9458658944200894,0.84
MHAR,22,GradientBoosting,0.8735746671402835,0.16,0.9787795481268172,0.32,0.8481173282392289,0.24,1.0,0.0,0.7934254214111561,0.6,0.7882272773711194,0.52,0.7934254214111561,0.6,0.8657395877654838,0.2,0.856701696392316,0.4,0.6109970145136168,0.84,0.5684291557520573,0.72,1.1339449072785484,0.68,3.1466228559024176,0.56,0.7669146554877677,0.56,0.6043674889883026,0.72,0.7653490993174976,0.76,0.6144597784357085,0.68,0.638883818986279,0.64,0.8158832341665903,0.44,0.7984622785906546,0.68,0.8417471286885839,0.44,0.8028123655930764,0.52
MHAR,22,HAR,1.1446724675818813,0.0,1.3524768610441904,0.16,1.1114351397348512,0.0,1.4666073688238377,0.04,1.0,0.0,1.0051862946344856,0.0,1.0,0.0,1.1356581748385592,0.0,1.131214301976727,0.12,0.7770004536945894,0.76,0.7102160661063286,0.52,1.1919139812072503,0.4,5.146374614293936,0.28,1.041874660332419,0.44,0.7557956503570042,0.32,0.9338334055308195,0.32,0.7656646076624409,0.32,0.8155200621635451,0.4,1.0562263076898106,0.0,1.0624288567962188,0.12,1.0632561265036962,0.0,1.0186022279698688,0.12
MHAR,22,HARQ,1.1506905223667145,0.0,1.3790068019577646,0.16,1.1197737236292489,0.0,1.4954020539206956,0.04,1.022905694479398,0.12,1.0,0.0,1.022905694479398,0.12,1.1426992207532125,0.0,1.1442213069717613,0.12,0.7825221022889466,0.8,0.7085817031146582,0.64,1.1914647907580098,0.52,6.038902530211978,0.32,1.0508801055601327,0.48,0.7496884089393296,0.44,0.8903853177436339,0.48,0.7585364727484027,0.44,0.8180369341339491,0.48,1.0688159203859953,0.0,1.076443461984872,0.24,1.0835390743745348,0.0,1.0473005642823119,0.12
MHAR,22,HARX,1.1446724675818813,0.0,1.3524768610441904,0.16,1.1114351397348512,0.0,1.4666073688238377,0.04,1.0,0.0,1.0051862946344856,0.0,1.0,0.0,1.1356581748385592,0.0,1.131214301976727,0.12,0.7770004536945894,0.76,0.7102160661063286,0.52,1.1919139812072503,0.4,5.146374614293936,0.28,1.041874660332419,0.44,0.7557956503570042,0.32,0.9338334055308195,0.32,0.7656646076624409,0.32,0.8155200621635451,0.4,1.0562263076898106,0.0,1.0624288567962188,0.12,1.0632561265036962,0.0,1.0186022279698688,0.12
MHAR,22,Lasso,1.0064496773918192,0.2,1.1897024408921324,0.28,0.9799755330926156,0.44,1.284780099639848,0.12,0.9110797828228744,0.88,0.895401715141091,0.52,0.9110797828228744,0.88,1.0,0.0,1.0096169144027791,0.44,0.699920195016108,0.96,0.6394696559368376,0.76,1.0537223839699175,0.8,4.371542071876508,0.52,0.9338949700679514,0.64,0.6807578610673698,0.68,0.8385035331326622,0.68,0.6900288867479567,0.72,0.7361944340840069,0.68,0.9401357570072786,0.84,0.9414470235217796,0.28,0.9638771554442022,0.88,0.9286011308848025,0.8
MHAR,22,LevHAR,1.0455420138085234,0.12,1.2037402939441917,0.2,1.0153065165729809,0.12,1.2959350123319542,0.08,0.9242311698998882,0.4,0.9219823347383744,0.24,0.9242311698998882,0.4,1.0359287637047347,0.12,1.0,0.0,0.7187364862164273,0.8,0.6675213493510428,0.56,1.1554729032996949,0.52,4.967072255613427,0.32,0.9909251363736967,0.56,0.7120708313806721,0.48,0.8854327290623565,0.48,0.7225745683217448,0.44,0.7715692962413355,0.48,0.9669481727566596,0.16,0.964299751546135,0.16,0.9782945308084123,0.2,0.9400490088754705,0.4
MHAR,22,LogHAR,1.4870602453865913,0.0,1.784760439495591,0.0,1.4447238707634458,0.0,1.9287754894999103,0.0,1.3074073021032904,0.0,1.2962120808117348,0.0,1.3074073021032904,0.0,1.4767645507632985,0.0,1.481668311464184,0.0,1.0,0.0,0.9035103459638236,0.2,1.6150215995575612,0.28,6.956186345060264,0.16,1.3205604025430064,0.24,0.9541687841891096,0.24,1.1594839787272535,0.2,0.965502803252702,0.24,1.0342676819533718,0.28,1.378477094271004,0.0,1.383256744671395,0.0,1.3920893452207588,0.0,1.3350351145219337,0.0
