dataset,horizon,HAR,HARX,LogHAR,LevHAR,SHAR,HARQ,Ridge,Lasso,ElasticNet,AdaptiveLasso,PostLasso,Bagging,RandomForest,GradientBoosting,NN1_1,NN1,NN2_1,NN2,NN3_1,NN3,NN4_1,NN4
MHAR,22,1.0,1.0,0.7770004536945894,1.131106499476124,1.0186022279698688,1.0051862946344858,1.0632561265036962,1.1356581748385592,1.1114351397348512,1.1446724675818811,1.0562263076898106,1.3524768610441904,1.0624288567962188,1.466607368823838,1.1919139812072503,0.7102160661063286,1.041874660332419,5.146374614293936,0.9338334055308196,0.7557956503570044,0.8155200621635451,0.7656646076624408
PARTIAL_MALL,22,1.0,1.5493944414166154,0.737141314682313,1.6166548880612968,1.5587902559766929,1.505397347735926,1.6506829633105866,1.6905308181571101,1.4243376867496602,1.7317130846149655,1.6447156184715288,1.0179314578059464,0.8189171651288356,1.0987991105379644,0.7688726749935167,0.7637165447250297,2.154223481085147,0.9233864855430528,0.7889403474171464,0.7804535598762459,0.7915661677545891,0.7887091472504575
